Strain,Diet,Brood,BroodID,larval_weight_mg,survival_%,waste_reduction_rate_%,larval_protein_%,larval_size_cm2,prepupal_size_cm2,development_rate_%,Start_BSFL,BSF_prepupa_number,larvaeNo
EVE,Control,1,B1,173.1413793,0.935483871,0.579044025,0.315112,0.9815,0.781,0.942528736,93,88,5
EVE,Control,2,B2,176.3252874,0.935483871,0.581836478,,1,0.821823529,0.988505747,93,92,1
EVE,Control,3,B3,141.055814,0.924731183,0.490830189,0.320824,,0.768967213,0.988372093,93,92,1
EVE,Control,4,B4,173.6918605,0.924731183,0.489232704,,0.876,0.810246377,0.965116279,93,90,3
EVE,Control,5,B5,129.2565217,0.989247312,0.492993711,0.332962,,0.643985714,1,93,93,0
EVE,Control,7,B7,172.7767442,0.924731183,0.522075472,0.31535,0.616,0.831790323,0.976744186,93,91,2
EVE,Control,8,B8,165.5076923,0.978494624,0.516352201,,0.807,0.831072464,0.978021978,93,91,2
EVE,Control,9,B9,173.2863636,0.946236559,0.520163522,0.308448,0.8805,0.787483333,0.943181818,93,88,5
EVE,Control,10,B10,160.9155556,0.967741935,0.498880503,,0.864,0.735027778,0.977777778,93,91,2
EVE,Control,11,B11,206.5252747,0.978494624,0.53927044,0.319634,1.005428571,0.882320755,0.78021978,93,73,20
EVE,Control,12,B12,140.1426966,0.956989247,0.489886792,,0.92,0.659528571,0.97752809,93,91,2
EVE,Spent Brewing Grain,1,B1,106.7079545,0.946236559,0.425823899,0.315588,0.645659091,0.5475,0.272727273,93,25,68
EVE,Spent Brewing Grain,2,B2,107.2309524,0.903225806,0.428389937,,0.634931034,0.593846154,0.55952381,93,52,41
EVE,Spent Brewing Grain,3,B3,105.9333333,0.967741935,0.460918239,0.345338,0.68115,0.485,0.111111111,93,10,83
EVE,Spent Brewing Grain,4,B4,102.760241,0.892473118,0.428566038,,0.641319149,0.623133333,0.385542169,93,36,57
EVE,Spent Brewing Grain,5,B5,87.46888889,0.967741935,0.447874214,0.341292,0.600714286,0.609081081,0.766666667,93,71,22
EVE,Spent Brewing Grain,7,B7,85.69146341,0.88172043,0.467194969,0.317492,0.570636364,0.554848485,0.695121951,93,65,28
EVE,Spent Brewing Grain,8,B8,101.7225806,1,0.483194969,,0.660333333,0.611428571,0.505376344,93,47,46
EVE,Spent Brewing Grain,9,B9,88.87333333,0.967741935,0.417937107,0.312494,0.56144186,0.544818182,0.477777778,93,44,49
EVE,Spent Brewing Grain,10,B10,107.6781609,0.935483871,0.399823899,,0.612894737,0.583041667,0.724137931,93,67,26
EVE,Spent Brewing Grain,11,B11,125.8021978,0.978494624,0.427446541,0.342958,0.684080645,0.591,0.307692308,93,29,64
EVE,Spent Brewing Grain,12,B12,105.7612903,1,0.432603774,,0.648259259,0.58576,0.634408602,93,59,34
EVE,Manure,1,B1,168.6964912,0.612903226,0.64227673,0.293692,0.546,0.381,0.421052632,93,39,54
EVE,Manure,2,B2,154.9094118,0.913978495,0.711056604,0.27251,0.472957447,0.337666667,0.152941176,93,14,79
